CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L24231HP1984PLC006028,MOREPEN LABORATORIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,01-12-84,Himachal Pradesh,2500000000,899586406,24231,Manufacture of chemicals and chemical products,"VILLAGE MOREPEN NALAGARH ROAD NEAR BADDI DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 173205",RoC-Himachal Pradesh,investors@morepen.com,31-03-20,31-03-20
L24232HP2002PLC000267,BROOKS LABORATORIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,23-01-02,Himachal Pradesh,250000000,247028120,24232,Manufacture of chemicals and chemical products,"VILLAGE KISHANPURA NALAGARH ROAD, BADDI NALAGARH , Unclassified HP 174101",RoC-Himachal Pradesh,cs@brookslabs.net,31-03-20,31-03-20
L25209HP1985PLC006461,OBEROI PLASTICS LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,13-09-85,Himachal Pradesh,1000000,2000,25209,Manufacture of rubber and plastics products,"SIMLA. H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L25209HP1989PLC009557,STURDY INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,27-07-89,Himachal Pradesh,1501000000,1468507388,25209,Manufacture of rubber and plastics products,"21 INDUSTRIAL AREAPARWANOO BADDI HIMACHAL PRADESH , Unclassified HP 173205",RoC-Himachal Pradesh,legalsturdy@gmail.com,31-03-20,31-03-20
L26101HP1981PLC004430,JAI MATA GLASS LIMITED,Active,Public,Company limited by Shares,Non-govt company,27-02-81,Himachal Pradesh,117500000,100000000,26101,Manufacture of other non-metallic mineral products,"VILLAGE TIPRABAROTIWALA DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 174103",RoC-Himachal Pradesh,admin@jaimataglass.com,31-03-20,31-03-20
L26943HP1992PLC016791,SURAJ INDUSTRIES LTD,Active,Public,Company limited by Shares,Non-govt company,09-07-92,Himachal Pradesh,150000000,86500000,26943,Manufacture of other non-metallic mineral products,"Plot No. 2, Phase III Sansarpur Terrace Himachal Pradesh , Kangra Unclassified HP 173212",RoC-Himachal Pradesh,secretarial@surajindustries.org,31-03-20,31-03-20
L27101HP1984PLC005862,SHIVALIK BIMETAL CONTROLS LTD,Active,Public,Company limited by Shares,Non-govt company,18-06-84,Himachal Pradesh,150000000,76805600,27101,Manufacture of basic metals,"16 18 NEW ELECTRONICS COMPLEX,CHAMBAGHAT DISTT SOLAN HIMACHAL , Unclassified HP 173213",RoC-Himachal Pradesh,shivalik@shivalikbimetals.com,31-03-20,31-03-20
L27106HP1983PLC005643,HIMACHAL TUBES AND WIRES LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-11-83,Himachal Pradesh,75000000,11213000,27106,Manufacture of basic metals,"BILLANWALI LUBANA BADDI,TEHSIL NALAGARH DISTT SOLAN , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L27106HP1985PLC006378,COSMO FERRITES LIMITED,Active,Public,Company limited by Shares,Non-govt company,24-07-85,Himachal Pradesh,230000000,140300000,27106,Manufacture of basic metals,"P.O. JABLI DISTT SOLAN JABLI , Unclassified HP 173209",RoC-Himachal Pradesh,investorservices@cosmoferrites.com,31-03-20,31-03-20
L29130HP1971PLC000904,HIM TEKNOFORGE LIMITED,Active,Public,Company limited by Shares,Non-govt company,27-03-71,Himachal Pradesh,310000000,15732032,29130,Manufacture of machinery and equipment n.e.c.,"VILLAGE BILLANWALI, BADDI BADDI , Unclassified HP 173205",RoC-Himachal Pradesh,gujarat.gears@gmail.com,31-03-20,31-03-20
L31901HP2009PLC031083,INOX WIND LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-04-09,Himachal Pradesh,5000000000,2219182260,31901,Manufacture of electrical machinery and apparatus n.e.c.,"Plot No. 1, Khasra Nos. 264 to 267 Industrial Area Village Basal , Una Unclassified HP 174303",RoC-Himachal Pradesh,investors.iwl@inoxwind.com,31-03-20,31-03-20
L33302HP1981PLC008123,KDDL LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-01-81,Himachal Pradesh,250000000,116501080,33302,"Manufacture of medical, precision and optical instruments, watches and clocks","Plot No.3, Sector III, Parwanoo , Unclassified HP 173220",RoC-Himachal Pradesh,investor.complaints@kddl.com,31-03-20,31-03-20
L34300HP1985PLC006162,AUTOCOMPS INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,01-03-85,Himachal Pradesh,80000000,79954650,34300,"Manufacture of motor vehicles, trailers and semi-trailers","NO.1,INDUSTRIAL AREA,PARWANOODISTT. SOLAN--173220. , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L40101HP1988GOI008409,SJVN LIMITED,Active,Public,Company limited by Shares,Union Govt company,24-05-88,Himachal Pradesh,70000000000,39297952000,40101,"Electricity, gas, steam and hot water supply","SJVN CORPORATE OFFCIE COMPLEX SHANAN SHIMLA , Shimla Unclassified HP 171006",RoC-Himachal Pradesh,cssjvn@yahoo.com,31-03-20,31-03-20
L45202HP1984PLC005708,POLO HOTELS LTD,Active,Public,Company limited by Shares,Non-govt company,20-01-84,Himachal Pradesh,40000000,1000000,45202,Construction,"SHIMLA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L51395HP1985PLC012209,B C C FUBA INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,02-09-85,Himachal Pradesh,200000000,1531005,51395,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","4 KM SWARGHAT ROADNALAGARH DISTT SOLAN himachal pradesh , Unclassified HP 174101",RoC-Himachal Pradesh,delhi@bccfuba.com,31-03-20,31-03-20
L51505HP1993PLC031724,LS INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,26-11-93,Himachal Pradesh,1130000000,848818700,51505,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","VILLAGE BAIRSEN P.O. MANJHOLI, TEHSIL NALAGARH , Solan Unclassified HP 174101",RoC-Himachal Pradesh,lsindustries93@gmail.com,31-03-18,31-03-18
L51909HP1985PLC006412,FERNHILL INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-08-85,Himachal Pradesh,57500000,48322000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","BATA MANDIYAMUNA NAGAR ROAD PAONTA SAHIB SIRMUR himachal pradesh , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L55101HP1986PLC006678,U G HOTELS AND RESORTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,05-02-86,Himachal Pradesh,100000000,80982000,55101,Hotels and restaurants,"SHILON BAGHKUFRI CHAIL ROAD P O MUNDA GHAT DISTT SHIMLA HIMACHAL PRADESH , Shimla Unclassified HP 171012",RoC-Himachal Pradesh,DELHI@SHILONRESORTS.NET,31-03-13,31-03-13
L55101HP1987PLC007312,SAGAR TOURIST RESORTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,24-02-87,Himachal Pradesh,75000000,33756800,55101,Hotels and restaurants,"SAGAR NIWASMANALI KULLU MANALI HIMACHAL PRADESH , Kulu Unclassified HP 000000",RoC-Himachal Pradesh,sagarresortssecretarial@gmail.com,31-03-20,31-03-20
L55101HP1991PLC011636,GOLDEN TOURIST RESORTS AND DEVELOPMENTLIMITED,Active,Public,Company limited by Shares,Non-govt company,11-09-91,Himachal Pradesh,220000000,196614000,55101,Hotels and restaurants,"SUSHMA SADANSANSOLI CHOWK DISTT SHIMLA HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
L63040HP1994PLC019011,JAGSON AIRLINES LIMITED,Active,Public,Company limited by Shares,Non-govt company,03-01-94,Himachal Pradesh,500000000,201689800,63040,"Transport, storage and communications","18B SDA COMPLEXKASUMPTI SHIMLA HIMACHAL PRADESH , Shimla Unclassified HP 171009",RoC-Himachal Pradesh,jagson_id@jagsonltd.com,31-03-18,31-03-20
L64200HP1987PLC007466,HFCL LIMITED,Active,Public,Company limited by Shares,Non-govt company,11-05-87,Himachal Pradesh,7600000000,1284377194,64200,"Transport, storage and communications","8 ELECTRONICS COMPLEX CHAMBAGHAT,SOLAN HIMACHAL PRADESH , Unclassified HP 173213",RoC-Himachal Pradesh,secretarial@hfcl.com,31-03-20,31-03-20
L65921HP1994PLC001185,TIRUPATI ALUMINIUM LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,17-10-94,Himachal Pradesh,35000000,30023000,65921,Financial intermediation,"Behind Plot 21, HPSIDC-Village Judikalan, Near IOC Bottling Plant, Tehsil Nalagarh, NALAGARH , Solan Unclassified HP 173205",RoC-Himachal Pradesh,greattirupati@gmail.com,31-03-15,31-03-15
L70102HP1995PLC015854,GLOBAL LAND MASTERS CORPORATION LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-02-95,Himachal Pradesh,500000000,68482000,70102,Real estate activities,"Ward-1 Baddi , Solan Unclassified HP 173205",RoC-Himachal Pradesh,accounts@globallandmasters.com,31-03-19,31-03-19
L72200HP1989ULL009244,EIDER TECHNOLOGIES LIMITED,Active,Public,Unlimited Company,Non-govt company,10-04-89,Himachal Pradesh,110000000,101476500,72200,Computer and related activities,"TRILOK PUR ROAD KALA AMB sirmour , Unclassified HP 171001",RoC-Himachal Pradesh,dalela.pandeer@iittindia.com,31-03-20,31-03-20
L74110HP2004PLC027558,JHS SVENDGAARD LABORATORIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-10-04,Himachal Pradesh,700000000,644004650,74110,Other business activities,"TRILOKPUR ROADKALA AMB DISTT SIRMAUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,cs@svendgaard.com,31-03-20,31-03-20
L74999HP2017PLC006778,INFLAME APPLIANCES LIMITED,Active,Public,Company limited by Shares,Non-govt company,14-11-17,Himachal Pradesh,60000000,60000000,74999,Other business activities,"Khewat Khatoni No. 45/45, Khasra No. 942/855/1 Village Kalyanpur Tehsil-Baddi Baddi , Solan Unclassified HP 173205",RoC-Himachal Pradesh,cs@inflameindia.com,31-03-20,31-03-20
L99999HP1948PLC001381,NATIONAL CEREALS PRODUCTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,11-08-48,Himachal Pradesh,3000000,1314528,99999,Extraterritorial organizations and bodies,"SOLAN BREWERYP O SIMLA HILLS SOLAN HIMACHAL PRADESH , Unclassified HP 173214",RoC-Himachal Pradesh,ncpmohannagar@yahoo.co.in,31-03-20,31-03-20
U00000HP1975PLC003592,HIM CHEM LTD,Active,Public,Company limited by Shares,Non-govt company,15-09-75,Himachal Pradesh,100000000,90651000,0,Unclassified,"VILLAGE KHERAPINJORE NALAGARH DISTT SOLAN solan , Unclassified HP 174101",RoC-Himachal Pradesh,dharmindar_verma@rediffmail.com,31-03-20,31-03-20
U00000HP1983PTC005277,DIANA INDUSTRIES PVT LTD,Not Available for eFiling,Private,Company limited by Shares,Non-govt company,21-01-83,Himachal Pradesh,500000,440800,0,Unclassified,"77, INDUSTRIAL AREA, , SECTORI, PARWAROO , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U00000HP1984PTC005709,UMESH INDUSTRIAL ENTERPRISES PVT LTD,Converted to LLP,Private,Company limited by Shares,Non-govt company,07-01-84,Himachal Pradesh,2400000,1400000,0,Unclassified,"Hadbast No. 138, Near Gurind Glass Mouza Johron, Kala Amb, Tehsil Nahan , Sirmaur Unclassified HP 173030",Unclassified,kabirkohli007@gmail.com,31-03-17,31-03-17
U00000HP1994SGC014169,HIMACHAL BACKWARD CLASSES FINANCE ANDDEVELOPMENT CORPORATION,Active,Public,Company limited by Shares,State Govt company,31-01-94,Himachal Pradesh,130000000,100000000,0,Unclassified,"PWD REST HOUSE ROAD KANGRA HIMACHAL PRADESH , Kangra Unclassified HP 176001",RoC-Himachal Pradesh,md2010hbcfdc@gmail.com,31-03-20,31-03-13
U00000HP1995PTC021809,KNIGHT QUEEN INDUSTRIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-02-95,Himachal Pradesh,60000000,47873000,0,Unclassified,"VILLAGE-KHERI, TIRLOK PUR ROADKALA-AMB BLOCK, NAHAN, DISTT.SIRMOR PIN.173030 , Unclassified HP 000000",RoC-Himachal Pradesh,kwatrasc@yahoo.co.in,31-03-15,31-03-15
U00000HP2000PLC024040,HIMACHAL INDAGE LIMITED,Active,Public,Company limited by Shares,Non-govt company,06-11-00,Himachal Pradesh,1000000,500070,0,Unclassified,"HOUSE NO.25/1, JAJEHAR HOUSE, DHINGU HILL ROAD, SANJAULI SHIMLA , Shimla Unclassified HP 171006",RoC-Himachal Pradesh,sgc@indagegroup.com,31-03-20,31-03-20
U00000HP2001PLC000113,TARINI HYDROELECTRIC POWER LIMITED,Active,Public,Company limited by Shares,Non-govt company,10-04-01,Himachal Pradesh,15500000,5500000,0,Unclassified,"Village Mauja Nirmand Tehsil Nirmand , Unclassified HP 172023",RoC-Himachal Pradesh,tarinihppl@gmail.com,31-03-20,31-03-20
U00000HP2003PTC026421,ROLAND IMPEX PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-10-03,Himachal Pradesh,10000000,100000,0,Unclassified,"UNA HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,csjatinchadha@gmail.com,31-03-11,31-03-11
U00000HP2004PTC027723,GLOBAL MOBILE INFRASTRUCTURE PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,13-12-04,Himachal Pradesh,100000000,100000,0,Unclassified,"Tipra Post Office Surajpur, Tehsil Baddi Baddi , Solan Unclassified HP 174103",RoC-Himachal Pradesh,secretarialcorp@gmail.com,31-03-20,31-03-20
U00000HP2004PTC027725,HIMALAYAN SKI VILLAGE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,14-12-04,Himachal Pradesh,72600000,70232160,0,Unclassified,"SOHAM VILLAGESHURU P O JAGAT SUKH TEH MANALI DISTT KULLU HP , Unclassified HP 000000",RoC-Himachal Pradesh,rajagopal@himalayanski.com,31-03-20,31-03-20
U00060HP2006PLC029563,LYNX TELE-SOLUTIONS LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,24-01-06,Himachal Pradesh,500000,500000,60,Unclassified,"MAIN BAZAR, KASUMPTI,SHIMLA (HP). SHIMLA (HP). , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U00060HP2006PTC029489,BJS ENTERPRISES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-01-06,Himachal Pradesh,1500000,1400000,60,Unclassified,"SHASHI VILLA, NEAR NAVRATTAN GUEST HOUSE SHIMLA , Unclassified HP 170002",RoC-Himachal Pradesh,unique_wines@yahoo.com,31-03-18,31-03-18
U00060HP2006PTC029549,JASKARAN HOTELS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-01-06,Himachal Pradesh,500000,100000,60,Unclassified,"HOTEL DE PARK, KACCHI GHATI, NEAR GHORCHOWK SHIMLA,HIMACHAL PRADESH SHIMLA , Shimla Unclassified HP 171005",RoC-Himachal Pradesh,inderjitsngh29@gmail.com,31-03-20,31-03-20
U00060HP2006PTC029599,REGENCY GANGANI ENERGY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-01-06,Himachal Pradesh,230000000,220000000,60,Unclassified,"REGENCY COMPLEX, RIVERVIEW LANE, PAONTA SAHIB, (HP). (HP). , Unclassified HP 000000",RoC-Himachal Pradesh,aphregency@yahoo.co.in,31-03-20,31-03-19
U00060HP2006PTC029616,HIMACHAL IRRIGATION PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,31-01-06,Himachal Pradesh,100000,100000,60,Unclassified,"INDERPURI MARKET, WARD NO. 7,C.A. OFFICES OPP. NEW BUS STAND, PALAMPUR,KANGRA-176061 (H.P.). , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U00069HP2005PTC029194,HEMSON HOTEL AND RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-11-05,Himachal Pradesh,1000000,1000000,69,Unclassified,"H.NO. 269/13, SAULI KHAD,MANDI, DISTT. MANDI. MANDI, DISTT. MANDI. , Unclassified HP 000000",RoC-Himachal Pradesh,hemsonhrpl@gmail.com,31-03-20,31-03-20
U00069HP2005PTC029247,SILENT PLANET HOLIDAYS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-11-05,Himachal Pradesh,100000,100000,69,Unclassified,"VILL. KUTHERA, P.O. MALANGAN DISTT. BILASPUR (H.P.). DISTT. BILASPUR (H.P.). , Unclassified HP 000000",RoC-Himachal Pradesh,silentplanetholidays@gmail.com,31-03-20,31-03-20
U00069HP2005PTC029339,V.T. HOTELS AND RESORTS PRIVATE LIMITED,Converted to LLP,Private,Company limited by Shares,Non-govt company,12-12-05,Himachal Pradesh,2000000,1950000,69,Unclassified,"CHAIL BLOSSOM, P.O.CHAIL,TEH.KANDAGHAT SOLAN (HP). TEH.KANDAGHAT, SOLAN (HP). , Unclassified HP 000000",Unclassified,deepak.raichandani23@gmail.com,31-03-20,31-03-20
U00069HP2005PTC029359,HIMALAYA SANCTUARY RESORTS PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,14-12-05,Himachal Pradesh,700000000,100000,69,Unclassified,"3RD FLOOR, GANPATI BHAWAN, STRAWBERRY HILL CHOTTA SHIMLA SHIMLA , Shimla Unclassified HP 171002",RoC-Himachal Pradesh,RAJEEVSOOD_CO@YAHOO.CO.IN,31-03-18,31-03-18
U00082HP2005PTC029138,KAPOOR BUILDCON PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,02-11-05,Himachal Pradesh,100000,100000,82,Unclassified,"52/10, POST OFFICE ROAD,MANDI (HP). MANDI (HP). , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U00082HP2005PTC029220,ARSH HOUSING AND INDUSTRIAL PLOTSDEVELOPERS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,22-11-05,Himachal Pradesh,100000,100000,82,Unclassified,"ROOM NO. 1, OPPOSITE HAWELLFACTORY, VARDHMAN ROAD BADDI, DISTT. SOLAN. DISTT. SOLAN. , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U00082HP2005PTC029230,S P THAKUR CONSTRUCTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-11-05,Himachal Pradesh,500000,100000,82,Unclassified,"C/O SATPAL THAKUR, VPO PANDOH,DISTT. MANDI (H.P.). DISTT. MANDI (H.P.). , Unclassified HP 000000",RoC-Himachal Pradesh,itrkullumanali35@rediffmail.com,31-03-20,31-03-20
U00082HP2005PTC029311,DEV BHOOMI ENCLAVE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-12-05,Himachal Pradesh,300000,100000,82,Unclassified,"SANJAULI DISTT. SHIMLA SANJAULI , Unclassified HP 000000",RoC-Himachal Pradesh,agoel_7@yahoo.co.in,31-03-20,31-03-20
U00201HP2005PTC029361,DIGIT FOODS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,15-12-05,Himachal Pradesh,1000000,1000000,201,Unclassified,"VILLAGE KULHARHIWALA,TEH. KASAULI, DISTT. SOLAN (HP). (HP). , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U00201HP2005PTC029378,REGAL SNACKS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-12-05,Himachal Pradesh,107500000,100000000,201,Unclassified,"MAHILPUR ROAD, SHAMPURA,TEHALIWALI INDUSTRIAL AREA TEH & DISTT UNA UNA (HP)-176 671. , Unclassified HP 176671",RoC-Himachal Pradesh,csankitgandhi@gmail.com,31-03-11,31-03-11
U00221HP2005PTC029415,GOVARDHAN BOTTLING PLANT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-12-05,Himachal Pradesh,10000000,964000,221,Unclassified,"Vill Galu, Tehsil Jogindernagar, Mandi , Mandi Unclassified HP 175015",RoC-Himachal Pradesh,sharma.amit0009@gmail.com,31-03-19,31-03-19
U00265HP2005PTC029376,S.M TECHNO FOAM (INDIA) PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,16-12-05,Himachal Pradesh,30000000,1250000,265,Unclassified,"VILLAGE BHADROYA P. O. LODHWAN, TEH. NURPUR, DISTT KANGRA, HIMACHAL PRADESH-176201 NURPUR , Kangra Unclassified HP 176201",RoC-Himachal Pradesh,dkpa1@rediffmail.com,31-03-10,31-03-10
U00291HP2006PTC001074,NEWTECH FILTER INDIA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-01-06,Himachal Pradesh,700000000,700000000,291,Unclassified,"C/o ESys Information Technologies Pvt Ltd., Shed No. 5 Industrial Area, Village: Bairsen (Manjholi) Nalagarh , Solan Unclassified HP 174101",RoC-Himachal Pradesh,anjali.aggarwal@ntfi.co.in,31-03-20,31-03-20
U00304HP2005PTC029151,UNI-SOLVE PHARMACEUTICALS PRIVATELIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,07-11-05,Himachal Pradesh,500000,500000,304,Unclassified,"ROYAL CHAMBERS, KASAULI ROAD,SECTOR -2, PARWANOO, DISTT.SOLAN (HP). DISTT.SOLAN (HP). , Unclassified HP 000000",RoC-Himachal Pradesh,unisolvepharma@gmail.com,31-03-16,31-03-16
U00304HP2005PTC029450,HEALTH GUARD LIFESCIENCES PRIVATELIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,30-12-05,Himachal Pradesh,100000,100000,304,Unclassified,"VILLAGE BELIDEOR, P.O. KHERA,TEH. NALAGARH DIST.SOLAN. TEH. NALAGARH, DIST.SOLAN. , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U00304HP2005PTC029451,BIODEAL PHARMACEUTICALS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-12-05,Himachal Pradesh,250000000,250000000,304,Unclassified,"VILLAGE SAINI MAJRA,NALAGARH-ROPAR ROAD, TEH. NALAGARH, DISTT. SOLAN (HP). NALAGARH, DISTT. SOLAN (HP). , Unclassified HP 000000",RoC-Himachal Pradesh,ravi@biodealpharma.com,31-03-20,31-03-20
